Learning rate,Lambda max coral,Final validation accuracy
0.001,0.01,0.7503636479377747
0.001,0.1,0.8314545750617981
0.001,1.0,0.8173183798789978
0.001,10.0,0.8524546027183533
0.001,100.0,0.7169090509414673
0.01,0.01,0.09354546666145325
0.01,0.1,0.599727213382721
0.01,1.0,0.3951817750930786
0.01,10.0,0.27272725105285645
0.01,100.0,0.07763636857271194
