Gamma,Dropout Rate,Best Validation Accuracy
2.0,0.0,0.9746874924749136
2.0,0.5,0.9734375011175871
2.0,0.2,0.9731249902397394
5.0,0.0,0.9603124894201756
5.0,0.5,0.9750000033527613
5.0,0.2,0.9696875028312206
